Detector_Number,x,y,z,Total_Energy_Deposited,Energy_Per_Particle,Energy_Squared_Sum,Quadric_Energy_Per_Particle,sigma,n_total,m_sigma,Ix,Iy,Iz
1,-8.8,-8.8,-1.5,8238326.416699998,0.002053933287634006,2077681801334.91,56166.004832064,0.59803845578,4011000000.0,0.0010780976735041646,0,0,0
2,-8.8,-8.0,-1.5,9406078.63,0.0025511469026308652,2658870322173.0,73856.5805784,0.6562761121,3687000000.0,0.0013267732090606165,0,1,0
3,-8.8,-7.2,-1.5,12508807.905999998,0.00326004897211363,4344921364531.0,132166.41045969992,0.93233286,3837000000.0,0.001629747839285497,0,2,0
4,-8.8,-6.4,-1.5,14186911.680000002,0.0032147998368456834,3485535934100.0,82412.455268,0.806835814,4413000000.0,0.0012691767470162287,0,3,0
5,-8.8,-5.6,-1.5,16231118.330000004,0.003539275693414741,3881452724940.0,87584.53880669999,0.9671873150000001,4586000000.0,0.00128879651064801,0,4,0
6,-8.8,-4.8,-1.5,21560326.51,0.004655149845622369,6920224293141.0,178430.9875935801,1.3559055499,4631500000.0,0.0017039610708629368,0,5,0
7,-8.8,-4.0,-1.5,27946806.75999999,0.005522538634522279,7978658565410.0,188634.15185799997,1.6471650150000006,5060500000.0,0.0016745293408069442,0,6,0
8,-8.8,-3.2,-1.5,33085835.665000007,0.006089791213878153,9433627241330.9,248819.88654180008,1.9641855675000002,5433000000.0,0.0016959806809064741,0,7,0
9,-8.8,-2.4,-1.5,32408741.416999996,0.006047535252285873,8150992441187.0,186873.43613019996,1.7490816355999999,5359000000.0,0.0015982427301367184,0,8,0
10,-8.8,-1.6,-1.5,35862468.752,0.006373283943842189,9441458180044.0,224918.76944210002,1.9765965081999994,5627000000.0,0.0016381884937170408,0,9,0
11,-8.8,-0.8,-1.5,42885215.73099999,0.007464139888782524,14471538194273.0,373650.4774018,2.5124849836000007,5745500000.0,0.0019863271030948234,0,10,0
12,-8.8,-0.0,-1.5,47923669.29400001,0.00877883665396593,15213115137008.0,364668.1573096998,2.5074345379,5459000000.0,0.0021434691164098608,0,11,0
13,-8.8,0.8,-1.5,39319925.058000006,0.0071974968072487655,11051973778656.701,270360.6285174,2.2183072985999996,5463000000.0,0.0018256182626329258,0,12,0
14,-8.8,1.6,-1.5,43397192.076999985,0.007817905256170057,15979742583571.0,390767.07718320005,2.4210628249000004,5551000000.0,0.002160403699430148,0,13,0
15,-8.8,2.4,-1.5,36173345.551,0.006755690643570828,11537117598628.6,282932.57984414994,2.1635992963,5354500000.0,0.0019030534530466727,0,14,0
16,-8.8,3.2,-1.5,29683140.869999997,0.005528101474997672,7600543734970.0,189369.47116500008,1.6550499239999996,5369500000.0,0.0015403156731144305,0,15,0
17,-8.8,4.0,-1.5,22868594.140000008,0.004478768926752841,5108019344054.0,119885.07571260993,1.3031489365000006,5106000000.0,0.0013279040838248813,0,16,0
18,-8.8,4.8,-1.5,16701811.603,0.0035680007697073274,4372116164034.0,127464.56684429999,1.0868832460000004,4681000000.0,0.0013400729992284176,0,17,0
19,-8.8,5.6,-1.5,15035580.777999999,0.0032086173235168587,3187312406188.0,93771.28499996998,1.0071178273999999,4686000000.0,0.0011429606633006904,0,18,0
20,-8.8,6.4,-1.5,13638842.140000002,0.003128174802752294,3720831073080.0,109759.79827699998,0.9989432979999998,4360000000.0,0.001327256129427214,0,19,0
21,-8.8,7.2,-1.5,11413940.866999991,0.0029173011800638954,2465193065726.0,54406.19177020002,0.6406274217000001,3912500000.0,0.0012039054208224185,0,20,0
22,-8.8,8.0,-1.5,10091459.002,0.002627984115104167,2348599387913.0,62108.833898559984,0.6513950084999999,3840000000.0,0.001197276613783382,0,21,0
23,-8.8,8.8,-1.5,10967356.998,0.00286990893575821,3619397280583.2,103343.08088568,0.7478480597000003,3821500000.0,0.0014935009967542523,0,22,0
24,-8.0,-8.8,-1.5,10476016.462,0.0025588706551050314,2493555965822.6,58824.132825052,0.6784283268999999,4094000000.0,0.0011571321867720915,1,0,0
25,-8.0,-8.0,-1.5,11761045.54,0.0027823623231606337,2335890400480.0,61333.2787504,0.794401463,4227000000.0,0.0010847139733539967,1,1,0
26,-8.0,-7.2,-1.5,14495422.327999996,0.003341884110201728,3263227987060.0,81217.45209199,0.9020928034999999,4337500000.0,0.0012494114229067567,1,2,0
27,-8.0,-6.4,-1.5,18083326.213999994,0.00396043062067455,4967157131393.1,134386.68676394998,1.1978763441999998,4566000000.0,0.0014643311256669698,1,3,0
28,-8.0,-5.6,-1.5,19001804.71,0.004143889370842874,5621658085630.0,134370.89208659995,1.1174650579999998,4585500000.0,0.001551196327402819,1,4,0
29,-8.0,-4.8,-1.5,20032359.051999994,0.004141484195162289,4611043973346.0,99536.61684018999,1.1251684971999998,4837000000.0,0.0013318177397411259,1,5,0
30,-8.0,-4.0,-1.5,30955075.710000005,0.005881640834125025,7207487268700.0,179591.15449299995,1.7459923739999996,5263000000.0,0.0015303114269727331,1,6,0
31,-8.0,-3.2,-1.5,29616636.995,0.0056283992768909165,7583077053283.1,197539.32352195,1.7121662107000004,5262000000.0,0.001569976459897527,1,7,0
32,-8.0,-2.4,-1.5,39744241.07000001,0.007415662108405636,11850796858800.0,304931.197978,2.301856623,5359500000.0,0.0019269513535871623,1,8,0
33,-8.0,-1.6,-1.5,42015433.00100001,0.007628074255809733,14040183825585.0,345902.8767607001,2.3879917974000002,5508000000.0,0.002040862356155507,1,9,0
34,-8.0,-0.8,-1.5,43427509.830000006,0.007765312441662942,12116569048230.0,319686.230222,2.45814707,5592500000.0,0.0018672612585866296,1,10,0
35,-8.0,-0.0,-1.5,56677563.7,0.00982620729889043,16864941843200.0,375953.020064,2.7409061880000007,5768000000.0,0.0021359369059350784,1,11,0
36,-8.0,0.8,-1.5,45770274.807000004,0.008083050738543048,14393691910579.0,339288.4021988798,2.446277347000001,5662500000.0,0.002010014245636345,1,12,0
37,-8.0,1.6,-1.5,40947748.677999996,0.0075092148685127445,12068402715732.0,282234.8765192899,2.1910676893999996,5453000000.0,0.0019112198547911532,1,13,0
38,-8.0,2.4,-1.5,42821317.62999999,0.007560260881002823,13856602709700.0,346626.7877289999,2.385890712000001,5664000000.0,0.0019716344032094796,1,14,0
39,-8.0,3.2,-1.5,34667518.359000005,0.006096459748351359,9891951539081.1,270941.85473320005,2.1707606579000007,5686500000.0,0.0016592705177851618,1,15,0
40,-8.0,4.0,-1.5,31514834.400000006,0.005955184126984128,9793533255130.0,249216.16546000005,1.9458738959999993,5292000000.0,0.0017740714881697194,1,16,0
41,-8.0,4.8,-1.5,21306483.12,0.0041663048728979276,4532183926860.0,112268.29993610007,1.2615158039999999,5114000000.0,0.0012488615361072547,1,17,0
42,-8.0,5.6,-1.5,21732935.137,0.0044566666947605865,8081211609235.1,178442.747488075,1.3710149548599997,4876500000.0,0.0017488447720741557,1,18,0
43,-8.0,6.4,-1.5,18409363.107999995,0.0038308944143169276,6253779489334.6,159842.89119336,1.1610792428999999,4805500000.0,0.0015611834998592489,1,19,0
44,-8.0,7.2,-1.5,13823320.32,0.0031495375529733425,3216705178740.0,86008.66066080003,0.8980228860000002,4389000000.0,0.001225917656414318,1,20,0
45,-8.0,8.0,-1.5,10745771.219,0.0026624804804261646,2250217462738.0,48215.95965281001,0.6682192814999999,4036000000.0,0.0011150191845576763,1,21,0
46,-8.0,8.8,-1.5,9176761.658,0.0025392256939679027,1941468541735.0,51396.6757964,0.5890991877999999,3614000000.0,0.0011566402009316372,1,22,0
47,-7.2,-8.8,-1.5,11702826.509999998,0.003067582309305373,3539856150870.0,80057.36563580004,0.7392738120999998,3815000000.0,0.0014795154926492613,2,0,0
48,-7.2,-8.0,-1.5,11005760.815,0.0028475448421733506,2763913994222.0,49079.929260385026,0.6024079768,3865000000.0,0.001290428708664157,2,1,0
49,-7.2,-7.2,-1.5,15635715.162000002,0.0036328334484200748,4298021893971.0,95943.78074599401,0.9577112400999999,4304000000.0,0.0014450514194122286,2,2,0
50,-7.2,-6.4,-1.5,17480139.996,0.0036078720321981424,4219559657233.0,99122.72203018998,1.0211717148,4845000000.0,0.0012719236300420755,2,3,0
51,-7.2,-5.6,-1.5,21573732.67,0.004179336046106161,4968209728500.0,129548.67595679998,1.3300326150000006,5162000000.0,0.0012953979666663687,2,4,0
52,-7.2,-4.8,-1.5,30377862.319999993,0.0058156144960275664,7990165869500.0,197365.46251099996,1.7288486880000002,5223500000.0,0.001623444882066066,2,5,0
53,-7.2,-4.0,-1.5,34564100.50999999,0.00650312333207902,9572759075800.0,244803.69785150007,2.035734998000001,5315000000.0,0.0017463711377956018,2,6,0
54,-7.2,-3.2,-1.5,35015153.735,0.006387295464246625,10290522760254.0,268130.08841535996,2.0346334544999998,5482000000.0,0.0017555004194678655,2,7,0
55,-7.2,-2.4,-1.5,41745713.917,0.007348950605932577,11710651076053.0,290432.8170148,2.2803201029,5680500000.0,0.0018072790132418045,2,8,0
56,-7.2,-1.6,-1.5,50159179.37,0.00867580720747211,16178388533500.0,404291.67724999983,2.749450213000001,5781500000.0,0.0020871244677429968,2,9,0
57,-7.2,-0.8,-1.5,47157190.316999994,0.008042498561780506,12956448354292.4,320846.40977235895,2.5539281030000005,5863500000.0,0.0018416508720343516,2,10,0
58,-7.2,-0.0,-1.5,61626507.74999999,0.010458465464573609,16938013234090.0,424475.5896049999,3.0484947610000006,5892500000.0,0.002095332210275094,2,11,0
59,-7.2,0.8,-1.5,56373440.80999999,0.009861530798565554,19129750172500.0,494292.8879569998,3.042447912,5716500000.0,0.002295332942764464,2,12,0
60,-7.2,1.6,-1.5,48656537.95,0.008614063547844561,14398572440330.0,327750.1147463998,2.426920940000001,5648500000.0,0.002015337718762382,2,13,0
61,-7.2,2.4,-1.5,41382874.91,0.007594581558084052,12767623829000.0,301187.24429,2.231575833,5449000000.0,0.0019672496684314373,2,14,0
